Gaming cage workers,"Baggage porters, bellhops, and concierges",Janitors and building cleaners
5140,4540,4230
Payroll and timekeeping clerks,Tour and travel guides,Maids and housekeeping cleaners
5150,4550,4240
Procurement clerks,Transportation attendants,Pest control workers
5160,4600,4251
Tellers,Child care workers,Landscaping and groundskeeping workers
5200,4610,4252
Brokerage clerks,Personal and home care aides,Tree trimmers and pruners
5210,4620,4255
Correspondence clerks,Recreation and fitness workers,Other grounds maintenance workers
5220,4630,4330
"Court, municipal, and license clerks",Not used,Supervisors of personal care and service workers
5230,4640,4340
"Credit authorizers, checkers, and clerks",Residential advisors,Animal trainers
5240,4650,4350
Customer service representatives,"Personal care and service workers, all other",Animal caretakers
5250,4700,4400
"Eligibility interviewers, government programs",First-line supervisors/managers of retail sales workers,Gambling services workers
5260,4710,4420
File clerks,First-line supervisors/managers of non-retail sales workers,"Ushers, lobby attendants, and ticket takers"
5300,4720,4435
"Hotel, motel, and resort desk clerks",Cashiers,Other entertainment attendants and related workers
5310,4730,4461
"Interviewers, except eligibility and loan",Not used,"Embalmers, crematory operators and funeral attendants"
5320,4740,4465
"Library assistants, clerical",Counter and rental clerks,"Morticians, undertakers, and funeral arrangers"
5330,4750,4500
Loan interviewers and clerks,Parts salespersons,Barbers
5340,4760,4510
New accounts clerks,Retail salespersons,"Hairdressers, hairstylists, and cosmetologists"
5350,4800,4521
Order clerks,Advertising sales agents,Manicurists and pedicurists
5360,4810,4522
"Human resources assistants, except payroll and timekeeping",Insurance sales agents,Skincare specialists
5400,4820,4525
Receptionists and information clerks,"Securities, commodities, and financial services sales agents",Other personal appearance workers
5410,4830,4530
Reservation and transportation ticket agents and travel clerks,Travel agents,"Baggage porters, bellhops, and concierges"
5420,4840,4540
"Information and record clerks, all other","Sales representatives, services, all other",Tour and travel guides
5500,4850,4600
Cargo and freight agents,"Sales representatives, wholesale and manufacturing",Childcare workers
5510,4900,4621
Couriers and messengers,"Models, demonstrators, and product promoters",Exercise trainers and group fitness instructors
5520,4910,4622
Dispatchers,Not used,Recreation workers
5530,4920,4640
"Meter readers, utilities",Real estate brokers and sales agents,Residential advisors
5540,4930,4655
Postal service clerks,Sales engineers,"Personal care and service workers, all other"
5550,4940,4700
Postal service mail carriers,Telemarketers,First-Line supervisors of retail sales workers
5560,4950,4710
"Postal service mail sorters, processors, and processing machine operators","Door-to-door sales workers, news and street vendors, and related workers",First-Line supervisors of non-retail sales workers
5600,4965,4720
"Production, planning and expediting clerks","Sales and related workers, all other",Cashiers
5610,5000,4740
"Shipping, receiving, and traffic clerks",First-line supervisors/managers of office and administrative support workers,Counter and rental clerks
5620,5010,4750
Stock clerks and order fillers,"Switchboard operators, including answering service",Parts salespersons
5630,5020,4760
"Weighers, measurers, checkers, and samplers, record keeping",Telephone operators,Retail salespersons
5700,5030,4800
Secretaries and administrative assistants,"Communications equipment operators, all other",Advertising sales agents
5800,5100,4810
Computer operators,Bill and account collectors,Insurance sales agents
5810,5110,4820
Data entry keyers,Billing and posting clerks and machine operators,"Securities, commodities, and financial services sales agents"
5820,5120,4830
Word processors and typists,"Bookkeeping, accounting, and auditing clerks",Travel agents
5830,5130,4840
Desktop publishers,Gaming cage workers,"Sales representatives of services, except advertising, insurance, financial services, and travel"
5840,5140,4850
Insurance claims and policy processing clerks,Payroll and timekeeping clerks,"Sales representatives, wholesale and manufacturing"
5850,5150,4900
"Mail clerks and mail machine operators, except postal service",Procurement clerks,"Models, demonstrators, and product promoters"
5860,5160,4920
"Office clerks, general",Tellers,Real estate brokers and sales agents
5900,5165,4930
"Office machine operators, except computer","Financial clerks, all other",Sales engineers
5910,5200,4940
Proofreaders and copy markers,Brokerage clerks,Telemarketers
5920,5210,4950
